economy,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
IBT,1173.47877221516,1185.44250685994,1252.8938783301,1292.27804200832,1317.4836521571,1327.50441551752,1347.44486197128,,,,,
IDA,484.112242234838,474.786904727392,480.641867345673,487.872279246798,487.934462098485,484.639170081323,459.826094480463,,,,,
IDB,659.115534306474,633.792377810695,640.9023243002,654.320480757197,660.79790564584,643.64663388283,579.721592877539,,,,,
IDN,793.100056523183,845.99724380826,877.075612944877,833.562770291426,853.21074500617,863.821360815284,883.921509289319,,,,,
IDX,370.919419339106,371.625909348471,376.235413147594,378.957033837464,375.977463796295,381.260419410686,384.529989100921,,,,,
IMN,,,,,,,,,,,,
IND,501.559636179128,544.626597293667,561.653405869891,577.994426290311,599.155619780044,605.794037758373,636.57183398644,,,,,
INX,,,,,,,,,,,,
IRL,3293.88463505425,3149.5651406995,3152.00360514061,2865.37473985193,2853.0648654983,2814.9826896226,2741.5748839566,2819.87585169324,,,,
IRN,2837.18442861713,2800.51559391298,2769.46356726239,2791.10767649782,2869.33253177881,2889.109213894,3060.38641403018,,,,,
IRQ,968.350938476536,1137.03460068228,1261.22046291677,1335.73818062994,1438.17556418605,1488.56127507803,1437.90062573904,,,,,
ISL,16353.8312739829,16911.07978361,17023.1668244031,18157.598099143,17630.0714650968,18178.139014838,17916.1204205433,17478.8930368937,,,,
ISR,3129.12776379159,2873.87610879555,3042.43402067265,2980.17615699606,3067.74249415334,2870.0987654321,2762.50593376097,2777.87532368349,,,,
ITA,3087.5663310273,2869.92071205584,2930.58852412547,2828.40489139601,2709.29772810307,2579.47254262663,2414.48400158318,2481.75464546017,,,,
JAM,1265.6257357913,1080.15339939102,951.409446980997,1009.34806640783,974.464556135403,1006.69812607785,976.858146237901,,,,,
JOR,1078.16702669255,1081.923670926,978.203386856867,922.098778288727,970.318158439043,907.079499546425,917.118987238449,,,,,
JPN,3858.43452050944,3678.51113263099,3893.26660420083,3610.81216900174,3537.3631698125,3567.62935383891,3470.76312894811,3428.55721600428,,,,
KAZ,4428.08693296507,3944.28826715414,4234.8510636525,4670.82095151101,4398.94414572576,4786.59275535027,4434.63912123152,,,,,
KEN,443.540136123899,456.949545347615,464.413403312685,461.465686327868,454.835750446137,468.636589650972,505.996512253099,,,,,
KGZ,593.94645308064,535.816878123084,505.402265092972,600.285242809995,737.22642317021,690.317679558011,650.40150801131,,,,,
KHM,251.275314061281,360.494919504272,370.260068242455,381.24231462661,390.790431741813,396.913617629854,416.838227043153,,,,,
KIR,,,,,,,,,,,,
KNA,,,,,,,,,,,,
KOR,4629.77792060244,4649.76574209758,5045.48774882698,5216.58780873474,5248.51989108414,5231.6754603358,5289.27583193211,5413.34785665856,,,,
KWT,10810.8064352167,11134.2582401319,10721.4851912708,10221.1957245678,11105.9810944168,9906.50020332454,9178.89052081327,,,,,
LAC,1197.51196008078,1174.33686440743,1218.0512044711,1237.44911046607,1268.68155919181,1287.2780238474,1303.01654977655,,,,,
LAO,,,,,,,,,,,,
LBN,1139.76592661307,1381.33099634201,1287.77379012264,1219.99253367248,1294.97419469014,1195.90053536131,1196.86630636478,,,,,
LBR,,,,,,,,,,,,
LBY,2937.63389747703,3146.18322471176,3353.52560891058,2190.81069712096,2744.0145179152,3071.82323763716,2808.6473534664,,,,,
LCA,,,,,,,,,,,,
LCN,1305.02585175148,1280.63119025459,1334.76852264745,1346.42447699143,1387.13089063517,1397.0265769263,1359.61651249073,,,,,
LDC,339.655286800771,347.604190581066,351.995634289477,354.314787993299,357.406818542955,365.992685468179,370.510908835858,,,,,
LIC,,,,,,,,,,,,
LIE,,,,,,,,,,,,
LKA,456.094340347751,449.526543781532,480.771837045766,512.678483747037,551.020709914321,487.378430896284,515.5110212725,,,,,
LMC,647.072328204145,659.429794744259,678.648148678258,685.096390052081,701.917924615136,699.916062887146,711.924950568919,,,,,
LMY,1149.41973702395,1162.81516625351,1228.36504609816,1267.93340029734,1293.02962309531,1303.36536700494,1329.53623615843,,,,,
LSO,,,,,,,,,,,,
LTE,1852.78582158148,1880.86990454336,2034.99422352651,2137.07176658336,2195.67248300785,2234.73154584207,2301.61401429882,,,,,
LTU,2975.91199635048,2770.8323584945,2275.76016649436,2412.48070169066,2468.99881617512,2356.64500222978,2387.27519440779,,,,,
LUX,8612.2337051059,7951.72394396755,8329.47827510637,8056.404300594,7722.19020390021,7312.15400471142,6861.10666721791,6548.40555894973,,,,
LVA,2106.36368897205,2055.82468626104,2148.65355139675,2066.63756870509,2170.58583240878,2156.16200953272,2176.84330583785,,,,,
MAC,,,,,,,,,,,,
MAF,,,,,,,,,,,,
MAR,512.607950449771,509.960588600607,528.103985655923,561.424336508057,561.475581207788,555.937359162444,555.137700652292,,,,,
MCO,,,,,,,,,,,,
MDA,1166.28660610803,1109.1739615256,1225.68405867299,1207.07572784844,1194.45538280331,1073.85685481332,1155.61245384063,,,,,
MDG,,,,,,,,,,,,
MDV,,,,,,,,,,,,
MEA,2044.85416849011,2070.08242058516,2118.73553261037,2091.22676165451,2201.45450711855,2162.02762682372,2353.27312642042,,,,,
MEX,1621.26496427316,1599.51671063545,1531.75696789919,1587.07207096478,1634.6974179034,1616.61364483698,1561.87334155916,1537.26141203192,,,,
MHL,,,,,,,,,,,,
MIC,1187.55609983,1202.59932690345,1272.9473842351,1317.08249351392,1347.37066286241,1359.55211888728,1384.58915747418,,,,,
MKD,1475.67196802186,1372.85795722473,1401.18121424581,1516.26711954449,1436.79028686433,1308.40558673509,1268.67801289595,,,,,
MLI,,,,,,,,,,,,
MLT,2043.52690294324,1887.20340770516,2012.31580572631,1993.32881701212,2090.39397373508,1803.21010782525,1781.50442518605,,,,,
MMR,302.63789994729,284.890681194242,277.092546333284,280.915337905731,304.524282174346,320.368883530781,369.332203996204,,,,,
MNA,1350.94581959245,1365.7615973783,1357.74037495067,1344.38915459707,1378.34898358195,1374.9757994823,1490.19031659813,,,,,
MNE,2067.96775850975,1646.31227215532,1898.28842093028,1815.52995666681,1711.79711279872,1580.41844344961,1538.26409996623,,,,,
MNG,1361.67611295114,1392.46217173051,1449.46839996441,1557.02062947122,1689.61602266862,1825.01562400778,1828.10138800882,,,,,
MNP,,,,,,,,,,,,
MOZ,417.238612218851,420.965394725543,423.267689737789,428.347245478036,424.508700251176,427.667855781395,442.664726788878,,,,,
MRT,,,,,,,,,,,,
MUS,1027.17420572436,999.486944747958,1053.45249520154,1053.50988977998,1067.78025324035,1094.72586964,1111.42216801197,,,,,
MWI,,,,,,,,,,,,
MYS,2777.66392520958,2591.76017714488,2601.45005528213,2670.65140779566,2678.5310911526,2979.64347051299,3003.45104495636,,,,,
NAC,7557.74146086517,7129.92319598286,7223.54027252546,7117.46993821388,6957.80750305707,6989.33654933836,7054.54699193127,6886.86739473183,,,,
NAM,712.288255451012,712.006358362337,726.081315715825,736.480953754304,749.944071766745,777.610178795132,794.300320309524,,,,,
NCL,,,,,,,,,,,,
NER,127.691109378173,130.312562586272,135.356451414523,113.090447607534,127.908135273938,154.974033854966,150.013653716997,,,,,
NGA,753.249409251858,721.814456702944,756.347144606283,778.843657704047,798.630024278772,780.139772744891,763.631851084707,,,,,
NIC,514.168135290809,510.157795492781,507.575474007985,518.11076844369,549.416551191553,580.484628192309,596.243789817368,,,,,
NLD,4848.01368974655,4722.10603889032,5025.32091625393,4636.70190403517,4646.25524068631,4600.18297553883,4325.52371158081,4233.04385740124,,,,
NOR,6752.7089818993,6484.11858531629,6934.5901990734,5649.69772392495,5906.14104846139,6415.99071427151,5595.65462490306,5817.63660265655,,,,
NPL,361.264085560875,368.950083231254,377.985627548776,390.827484854603,374.307314492189,417.304623377338,434.464536548043,,,,,
NRU,,,,,,,,,,,,
NZL,4082.72336729424,4073.23804211407,4225.09458248098,4177.02554744526,4357.80971393571,4360.30593638144,4553.02690136167,4431.51473076756,,,,
