economy,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
ECA,17964.5030364323,18901.289560395,19480.9327767,20074.6912804688,20261.3830753472,20225.9062351994,20443.4605138903,21128.3620651163,21702.6241217938,22114.2592972571
ECS,30791.9090708725,31577.2594893507,31668.0342070273,31894.0500660975,32291.502956523,32724.4108841763,33204.2404301259,34073.9375001719,34765.1742153514,35345.0892423408
ECU,10340.9702972165,10984.2837669942,11431.3756193625,11818.5868341087,12078.4743866036,11896.3751614302,11551.6159731776,11617.9122190573,11561.747853143,11370.603299072
EGY,10340.0732290684,10302.4428451733,10301.1078078639,10290.1916223878,10353.6668042109,10570.4452320986,10795.8087417387,11014.4864791744,11366.3355206681,11763.2532849551
EMU,42639.4581141758,43411.9292876438,42910.3597861373,42649.5401434689,43094.9506770427,43850.889302423,44543.9128958561,45609.5086540805,46346.1020871847,47034.6444339651
ERI,,,,,,,,,,
ESP,37319.4762230353,36884.2592434253,35769.4600345792,35371.7398181963,35968.6201369865,37377.068016704,38477.5791805612,39528.9253872668,40256.9524767458,40803.6269757506
EST,26015.7463509325,27990.136407635,28997.3228845385,29525.1188635117,30494.0963031973,31038.8046287051,32008.9343566614,33821.93290847,35097.7041021572,36399.9292208916
ETH,1259.02258051063,1360.93852243609,1437.37660668157,1545.17795600731,1656.63448899243,1779.0841114169,1894.89736397042,2021.56290796009,2103.51585836696,2221.40466452958
EUU,39006.3166495886,39780.8026234981,39439.9085592086,39342.7907758017,39889.2657530352,40752.1749844928,41515.9356076584,42676.6286975399,43555.8986727874,44388.3796684097
FCS,3987.02214269679,3914.65882058375,4088.10610821265,4194.38181089361,4261.59474345596,4296.04282199802,4329.15594615971,4340.40507488903,4372.42861303617,4409.69542360573
FIN,45874.6613021399,46825.8248388831,45952.246383366,45328.5753218041,44976.7764487708,45072.5902146238,46206.7878130494,47570.133583848,48049.5837841337,48582.5875885045
FJI,10547.9097854929,10787.6394816635,10919.4758320416,11429.3328826251,12058.0062359187,12569.0645600029,12820.7569917255,13429.3006222384,13846.1206565015,13684.2916962431
FRA,42147.6716766942,42864.0189689606,42790.6328838388,42816.2714819044,43021.3946358903,43345.7864281559,43705.1475593257,44577.0645745394,45284.0027939624,46017.7659610004
FRO,,,,,,,,,,
FSM,3659.63876623588,3756.90863055994,3649.44968018278,3468.16661703968,3340.20288328043,3448.30369231563,3437.38984001769,3490.13048688552,3460.90904773797,3465.5401920561
GAB,14415.4459113912,14883.4942581406,15082.6565608753,15342.1813095484,15437.2650293528,15510.0389513624,15359.7403963666,15006.8440374987,14743.6982429663,14945.8592935603
GBR,42147.765559754,42429.2098322806,42754.540431536,43271.8274646448,44239.151059642,45041.0571798668,45712.7834267325,46372.38660351,46853.2011143804,47368.5844114534
GEO,9736.73209374292,10541.4719031056,11295.7540913053,11740.0891163337,12254.6456549529,12605.1400698178,12963.7439586374,13589.7073915159,14253.4089858441,14989.2581602038
GHA,3828.41937142279,4261.62074782669,4548.57935362915,4769.07255916908,4794.14708368048,4785.99468331465,4837.53795658418,5115.90675022862,5315.25390473101,5540.04562697865
GIB,,,,,,,,,,
GIN,1870.80005065095,1932.50581465718,2002.32168676174,2035.31862675412,2061.69491695146,2087.93502637166,2253.47768258391,2417.80379491483,2499.70726640625,2567.03398696378
GMB,2346.72047883159,2091.82876600813,2135.74423789688,2131.43602743993,2038.8025175488,2058.65814621739,2036.87715930988,2072.64683284207,2158.07755816639,2224.90984166364
GNB,1747.23748547332,1839.692741951,1760.88399471437,1770.47614739359,1740.89673703744,1800.06338150248,1864.26303518079,1925.23773659951,1901.93173857674,1939.2895096348
GNQ,34732.2191497036,35377.736491918,36671.3574358438,33678.7378356066,32436.5535005511,28313.4331590396,24827.0321162643,22550.958161123,20386.0138677131,18502.563964039
GRC,33693.2114765963,30318.4046680383,28322.5730581368,27810.9112255691,28129.9613244489,28260.3866739065,28239.9192063819,28604.8609402657,29141.1743829385,29698.0304753909
GRD,13412.7933652353,13444.648144173,13206.9742382866,13427.5519644025,14317.3257305619,15142.06257045,15614.2977914991,16217.4998498411,16827.4874344917,16867.5721321567
GRL,,,,,,,,,,
GTM,7335.98897429945,7503.67465594417,7590.75546737921,7734.11770732066,7939.37437823934,8125.65553391647,8206.04798668298,8322.21680991504,8462.17210684372,8653.30819508205
GUM,,,,,,,,,,
GUY,9788.84875102514,10275.8759812654,10780.9365037376,11117.5227905855,11244.3973933469,11261.7795631327,11631.0567167505,12005.4051046745,12477.5806374013,13082.1814837162
HIC,44326.7502088311,45052.8234736938,45389.686550628,45792.7750477013,46507.4244993483,47400.471704343,48002.3552175163,48896.6124843446,49816.2248056421,50494.5647737639
